product_id,category,discounted_price,actual_price,discount_percentage,rating,rating_count,year
B07JW9H4J1,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.00,1099.00,64%,4.2,"24,269",2020
B098NS6PVG,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.00,349.00,43%,4,"43,994",2019
B096MSW6CT,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.00,1899.00,90%,3.9,"7,928",2023
B08HDJ86NZ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,329.00,699.00,53%,4.2,"94,363",2023
B08CF3B7N1,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,154.00,399.00,61%,4.2,"16,905",2023
B08Y1TFSP6,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,149.00,1000.00,85%,3.9,"24,871",2019
B08WRWPM22,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,176.63,499.00,65%,4.1,"15,188",2019
B08DDRGWTJ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,229.00,299.00,23%,4.3,"30,411",2021
B008IFXQFU,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,499.00,999.00,50%,4.2,"1,79,691",2023
B082LZGK39,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.00,299.00,33%,4,"43,994",2024
B08CF3D7QR,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,154.00,339.00,55%,4.3,"13,391",2019
B0789LZTCJ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.00,799.00,63%,4.2,"94,363",2019
B07KSMBL2H,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",219.00,700.00,69%,4.4,"4,26,973",2019
B085DTN6R2,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,350.00,899.00,61%,4.2,"2,262",2022
B09KLVMZ3B,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,159.00,399.00,60%,4.1,"4,768",2020
